"rootgene1" "rootgene2" "rootgene3" "rootgene4" "rootgene5" "rootgene6" "rootgene7" "rootgene8" "rootcellcount" "offsgene1" "offsgene2" "offsgene3" "offsgene4" "offsgene5" "offsgene6" "offsgene7" "offsgene8" "offscellcount" "changeprobe1" "changeprobe2" "changeprobe3" "changeprobe4" "changeprobe5" "changeprobe6" "changeprobe7" "changeprobe8" "changeprobenumber" "TotalPrize"
2 0 3 2 0 1 1 2 3 2 0 4 2 1 2 3 3 1 0 0 1 0 1 1 1 1 5 3.29759116587331e-06
2 0 3 2 0 1 1 2 3 3 0 3 2 0 1 1 2 1 1 0 0 0 0 0 0 0 1 0.00817370348031802
2 0 3 2 1 1 1 2 6 2 0 2 2 1 1 1 2 1 0 0 1 0 0 0 0 0 1 0.00567482280718359
2 0 3 2 1 1 1 2 6 2 0 3 2 0 1 1 2 3 0 0 0 0 1 0 0 0 1 0.00924265970265722
2 0 3 2 1 1 1 2 6 2 0 3 2 1 1 2 2 4 0 0 0 0 0 0 1 0 1 0.0228733580801773
2 0 3 2 1 1 2 2 4 2 0 3 3 1 1 2 2 1 0 0 0 1 0 0 0 0 1 0.00854194503222416
2 0 3 2 1 1 2 2 4 2 1 3 2 1 1 2 2 7 0 1 0 0 0 0 0 0 1 0.117625215999141
2 0 4 2 1 2 3 3 1 2 1 3 4 1 2 3 3 1 0 1 1 1 0 0 0 0 3 5.32064136940196e-05
2 0 6 3 1 1 3 4 1 2 0 11 3 0 3 2 4 1 0 0 1 0 1 1 1 0 4 2.69009211158695e-07
2 0 6 3 1 1 3 4 1 4 1 4 4 0 2 3 4 1 1 1 1 1 1 1 0 0 6 1.10995877118021e-06
2 0 11 3 0 3 2 4 1 4 0 5 4 0 0 0 5 1 1 0 1 1 0 1 1 1 6 8.697167573248e-11
2 1 2 2 1 1 1 2 6 2 1 2 2 0 1 1 2 1 0 0 0 0 1 0 0 0 1 0.0167724066151419
2 1 2 2 1 1 1 2 6 2 1 2 2 1 1 3 2 1 0 0 0 0 0 0 1 0 1 0.0150390106153204
2 1 2 2 1 1 1 2 6 2 2 2 2 1 1 1 2 1 0 1 0 0 0 0 0 0 1 0.0382262278226152
2 1 2 2 1 2 1 2 1 2 1 2 2 1 1 1 2 6 0 0 0 0 0 1 0 0 1 0.0322089725652862
2 1 2 2 1 2 1 2 1 2 1 2 2 2 2 1 2 1 0 0 0 0 1 0 0 0 1 0.0276162504982614
2 1 2 2 1 2 1 2 1 2 1 3 2 1 2 1 2 2 0 0 1 0 0 0 0 0 1 0.0221508813106368
2 1 2 2 1 2 2 2 3 2 1 2 2 1 2 1 2 1 0 0 0 0 0 0 1 0 1 0.0238016922484214
2 1 2 2 1 2 2 2 3 2 1 3 2 1 2 2 2 2 0 0 1 0 0 0 0 0 1 0.0244069895922757
2 1 2 2 2 2 2 2 1 2 0 2 2 2 2 2 2 1 0 1 0 0 0 0 0 0 1 0.0154817895101365
2 1 2 2 2 2 2 2 1 2 1 2 2 1 2 2 2 3 0 0 0 0 1 0 0 0 1 0.0451824794206965
2 1 2 2 2 2 2 2 1 2 1 2 2 2 2 3 2 1 0 0 0 0 0 0 1 0 1 0.0191631923684892
2 1 3 2 1 0 1 2 1 2 1 3 2 1 0 3 2 1 0 0 0 0 0 0 1 0 1 0.00249080335410417
2 1 3 2 1 1 0 2 1 2 1 2 2 1 1 0 2 1 0 0 1 0 0 0 0 0 1 0.00651573059445966
2 1 3 2 1 1 1 2 34 2 0 3 2 1 1 1 2 6 0 1 0 0 0 0 0 0 1 0.0137137711348404
2 1 3 2 1 1 1 2 34 2 1 3 1 1 1 1 2 1 0 0 0 1 0 0 0 0 1 0.00807509093687189
2 1 3 2 1 1 1 2 34 2 1 3 2 1 0 1 2 1 0 0 0 0 0 1 0 0 1 0.00605735506589697
2 1 3 2 1 1 1 2 34 2 1 3 2 1 1 0 2 1 0 0 0 0 0 0 1 0 1 0.00719371877793722
2 1 3 2 1 1 1 2 34 2 1 3 2 1 1 1 1 1 0 0 0 0 0 0 0 1 1 0.00875013408984757
2 1 3 2 1 1 1 2 34 2 1 3 2 1 1 1 3 1 0 0 0 0 0 0 0 1 1 0.0106946083320359
2 1 3 2 1 1 1 2 34 2 1 3 2 2 1 1 2 3 0 0 0 0 1 0 0 0 1 0.0260414359475663
2 1 3 2 1 1 1 2 34 2 1 4 2 1 1 1 2 2 0 0 1 0 0 0 0 0 1 0.0314192051281382
2 1 3 2 1 1 1 2 34 3 1 3 2 1 1 1 2 1 1 0 0 0 0 0 0 0 1 0.04046588055041
2 1 3 2 1 1 1 3 1 2 2 3 2 1 1 1 3 1 0 1 0 0 0 0 0 0 1 0.0170796464338571
2 1 3 2 1 1 2 2 7 1 1 3 2 1 1 2 2 1 1 0 0 0 0 0 0 0 1 0.00987506294565374
2 1 3 2 1 1 2 2 7 2 1 3 2 1 1 4 2 2 0 0 0 0 0 0 1 0 1 0.00460398001787982
2 1 3 2 1 1 4 2 2 2 1 3 3 0 2 2 1 1 0 0 0 1 1 1 1 1 5 4.64231643696968e-07
2 1 3 2 2 1 1 2 3 2 1 3 2 2 1 2 2 1 0 0 0 0 0 0 1 0 1 0.0383648764156186
2 1 3 2 2 1 2 2 1 2 2 3 2 2 1 2 2 1 0 1 0 0 0 0 0 0 1 0.0389305110923541
2 1 4 2 1 1 1 2 2 2 1 4 2 1 1 2 2 1 0 0 0 0 0 0 1 0 1 0.0388344587462871
2 1 4 2 1 1 1 2 2 2 1 4 3 1 1 1 2 1 0 0 0 1 0 0 0 0 1 0.0131619699277043
